date,hour_of_day,day_of_week,is_weekend,season,temperature,electricity_demand,gas_demand
1/2/2025,19,3,0,Winter,-3.2,370.43,258.89
1/2/2025,20,3,0,Winter,10.7,401.33,206.81
1/2/2025,21,3,0,Winter,-1.1,473.39,185.13
1/2/2025,22,3,0,Winter,10.8,387.12,253.01
1/2/2025,23,3,0,Winter,-2,593.77,265.59
1/3/2025,0,4,0,Winter,11.2,568.12,229.47
1/3/2025,1,4,0,Winter,-1.4,513.28,263.57
1/3/2025,2,4,0,Winter,10.6,556.39,182.16
1/3/2025,3,4,0,Winter,0.6,503.51,210.3
1/3/2025,4,4,0,Winter,0.8,427.73,206.88
1/3/2025,5,4,0,Winter,8.5,499.64,240.54
1/3/2025,6,4,0,Winter,-1.5,351.02,135.48
1/3/2025,7,4,0,Winter,10.1,381.4,229.22
1/3/2025,8,4,0,Winter,8.1,589.29,270.93
1/3/2025,9,4,0,Winter,8.8,367.41,186.2
1/3/2025,10,4,0,Winter,0,480.05,173.57
1/3/2025,11,4,0,Winter,7.5,474.79,151.06
1/3/2025,12,4,0,Winter,10.5,376.45,249.16
1/3/2025,13,4,0,Winter,2.1,580.9,265.32
1/3/2025,14,4,0,Winter,1.4,509.23,181.2
1/3/2025,15,4,0,Winter,2.2,482.18,196.37
1/3/2025,16,4,0,Winter,1.6,562.77,208.25
1/3/2025,17,4,0,Winter,8.6,439.17,162.87
1/3/2025,18,4,0,Winter,10.7,587.95,203.39
1/3/2025,19,4,0,Winter,10,355.47,138.16
1/3/2025,20,4,0,Winter,2.5,459.86,272.9
1/3/2025,21,4,0,Winter,8.9,418.74,225.3
1/3/2025,22,4,0,Winter,1.1,481.4,227.39
1/3/2025,23,4,0,Winter,3.8,518.76,170.38
1/4/2025,0,5,1,Winter,4.1,717.38,233.9
1/4/2025,1,5,1,Winter,5,625.5,232.15
1/4/2025,2,5,1,Winter,-0.8,540.75,228.2
1/4/2025,3,5,1,Winter,4,496.14,256.49
1/4/2025,4,5,1,Winter,1.5,699.56,288.41
1/4/2025,5,5,1,Winter,-0.4,619.39,169.17
1/4/2025,6,5,1,Winter,0.8,446.41,254.15
1/4/2025,7,5,1,Winter,10.2,502.6,229.3
1/4/2025,8,5,1,Winter,8.8,490.45,162.67
1/4/2025,9,5,1,Winter,8.7,705.25,287.05
1/4/2025,10,5,1,Winter,6.7,509.59,223.92
1/4/2025,11,5,1,Winter,0.7,562.46,167.72
1/4/2025,12,5,1,Winter,0.9,583.49,269.24
1/4/2025,13,5,1,Winter,7.3,477.57,280.39
1/4/2025,14,5,1,Winter,5.8,621.5,255.78
1/4/2025,15,5,1,Winter,7.6,423.23,298.74
1/4/2025,16,5,1,Winter,1.6,685.33,212.09
1/4/2025,17,5,1,Winter,1.6,514.41,251.01
1/4/2025,18,5,1,Winter,-2,495.47,257.84
1/4/2025,19,5,1,Winter,6.5,441.7,314.93
1/4/2025,20,5,1,Winter,-1,421.58,206.84
1/4/2025,21,5,1,Winter,5.5,586.58,292.67
1/4/2025,22,5,1,Winter,1.3,659.28,156.96
1/4/2025,23,5,1,Winter,3.6,569.54,218.38
1/5/2025,0,6,1,Winter,6.9,574.98,192.96
1/5/2025,1,6,1,Winter,-1.6,701.43,174.64
1/5/2025,2,6,1,Winter,2.2,510.01,230.39
1/5/2025,3,6,1,Winter,0.4,628.13,271.37
1/5/2025,4,6,1,Winter,-2.1,556.98,249.78
1/5/2025,5,6,1,Winter,4.2,452.71,218.82
1/5/2025,6,6,1,Winter,-0.2,529.15,219.17
1/5/2025,7,6,1,Winter,2.8,575.04,188.74
1/5/2025,8,6,1,Winter,9.3,587.33,254.4
1/5/2025,9,6,1,Winter,2.7,681.89,288.18
1/5/2025,10,6,1,Winter,4.6,438.74,191.4
1/5/2025,11,6,1,Winter,8.6,513.02,218.07
1/5/2025,12,6,1,Winter,5.4,683.46,170.79
1/5/2025,13,6,1,Winter,-0.3,648.43,306.95
1/5/2025,14,6,1,Winter,5.4,458.91,184.76
1/5/2025,15,6,1,Winter,8,517.44,245.47
1/5/2025,16,6,1,Winter,-1.3,445.32,201.38
1/5/2025,17,6,1,Winter,10.1,444.25,300.96
1/5/2025,18,6,1,Winter,10,710.76,222.35
1/5/2025,19,6,1,Winter,-0.3,530.21,188.18
1/5/2025,20,6,1,Winter,7.2,560.8,294.78
1/5/2025,21,6,1,Winter,3.1,449.36,211.95
1/5/2025,22,6,1,Winter,2.5,614.65,165.56
1/5/2025,23,6,1,Winter,1.4,700.49,231.45
1/6/2025,0,0,0,Winter,-0.2,588.6,149.36
1/6/2025,1,0,0,Winter,0.8,459.04,141.65
1/6/2025,2,0,0,Winter,3.5,518.87,273.44
1/6/2025,3,0,0,Winter,5.1,543.86,188.15
1/6/2025,4,0,0,Winter,6.6,511.2,272.81
1/6/2025,5,0,0,Winter,3.5,416.2,264.12
1/6/2025,6,0,0,Winter,7.4,374.02,234.08
1/6/2025,7,0,0,Winter,11.1,594.4,172.99
1/6/2025,8,0,0,Winter,7.5,484.93,260.17
1/6/2025,9,0,0,Winter,4.9,438.17,189.1
1/6/2025,10,0,0,Winter,8.5,433.82,153.3
1/6/2025,11,0,0,Winter,12.2,409.18,152.59
1/6/2025,12,0,0,Winter,0.7,408.4,261.45
1/6/2025,13,0,0,Winter,7.3,418.85,202.82
1/6/2025,14,0,0,Winter,-2.1,394.61,248.94
1/6/2025,15,0,0,Winter,1.6,541.73,194.53
1/6/2025,16,0,0,Winter,-0.5,470.95,234.59
1/6/2025,17,0,0,Winter,8.5,530.43,254.98
1/6/2025,18,0,0,Winter,1.1,563.15,208.27
1/6/2025,19,0,0,Winter,0.9,559.01,189.82
1/6/2025,20,0,0,Winter,6.2,424.75,180.11
1/6/2025,21,0,0,Winter,9.4,372.24,137.68
1/6/2025,22,0,0,Winter,8,482.65,240.15
1/6/2025,23,0,0,Winter,5.2,499.71,143.32
1/7/2025,0,1,0,Winter,2.6,437.63,251.01
1/7/2025,1,1,0,Winter,-3.3,516.77,188.24
1/7/2025,2,1,0,Winter,2.8,546.75,245.86
1/7/2025,3,1,0,Winter,8.7,594.64,187.25
1/7/2025,4,1,0,Winter,4.6,400.06,156.3
1/7/2025,5,1,0,Winter,9.8,496,187.35
1/7/2025,6,1,0,Winter,7.2,569.42,178.74
1/7/2025,7,1,0,Winter,11.6,466.62,201.52
1/7/2025,8,1,0,Winter,-0.2,357.15,184.7
1/7/2025,9,1,0,Winter,2.3,529.84,162.11
1/7/2025,10,1,0,Winter,7.9,503.67,254.3
1/7/2025,11,1,0,Winter,6.5,544.4,192.65
1/7/2025,12,1,0,Winter,4.1,536.43,208.67
1/7/2025,13,1,0,Winter,-1.8,440.16,197.75
1/7/2025,14,1,0,Winter,7.5,484.45,208.16
1/7/2025,15,1,0,Winter,7.1,575.09,239.37
1/7/2025,16,1,0,Winter,5.2,559.93,195.26
1/7/2025,17,1,0,Winter,4.5,562.36,177.74
1/7/2025,18,1,0,Winter,8.5,375.38,266.2
1/7/2025,19,1,0,Winter,10.1,446.99,205.08
1/7/2025,20,1,0,Winter,3,578.77,187.73
1/7/2025,21,1,0,Winter,1.1,358.12,231.85
1/7/2025,22,1,0,Winter,3.4,356.41,138.56
1/7/2025,23,1,0,Winter,2.4,508.78,250.04
1/8/2025,0,2,0,Winter,10.1,384.86,201.37
1/8/2025,1,2,0,Winter,7.4,521.31,260.25
1/8/2025,2,2,0,Winter,4.2,489.6,223
1/8/2025,3,2,0,Winter,-1.8,551.26,217.68
1/8/2025,4,2,0,Winter,-1.7,538.97,157.43
1/8/2025,5,2,0,Winter,3.5,526.77,140.53
1/8/2025,6,2,0,Winter,-0.2,389.39,267.94
1/8/2025,7,2,0,Winter,3.3,464.11,270.26
1/8/2025,8,2,0,Winter,4.4,586.19,137.65
1/8/2025,9,2,0,Winter,2.7,488.88,164.88
1/8/2025,10,2,0,Winter,8.1,517.58,235.51
1/8/2025,11,2,0,Winter,9.1,352.09,169.8
1/8/2025,12,2,0,Winter,2.8,569.37,179.28
1/8/2025,13,2,0,Winter,3.9,473.8,223.06
1/8/2025,14,2,0,Winter,3,390.42,265.17
1/8/2025,15,2,0,Winter,8.8,368.5,267.08
1/8/2025,16,2,0,Winter,0.1,494.38,252.24
1/8/2025,17,2,0,Winter,2.2,405.22,186.58
1/8/2025,18,2,0,Winter,-1.5,440.87,254.92
1/8/2025,19,2,0,Winter,6.5,468.4,246.13
1/8/2025,20,2,0,Winter,-0.9,392.12,132.31
1/8/2025,21,2,0,Winter,4.9,535.11,170.4
1/8/2025,22,2,0,Winter,-3.1,412.11,158.23
1/8/2025,23,2,0,Winter,8.6,408.58,208.53
1/9/2025,0,3,0,Winter,11,542.49,204.05
1/9/2025,1,3,0,Winter,11.6,353.15,237.34
1/9/2025,2,3,0,Winter,7.5,531.06,230.87
1/9/2025,3,3,0,Winter,-2.5,507.75,177.93
1/9/2025,4,3,0,Winter,4,560.76,196.4
1/9/2025,5,3,0,Winter,11.6,583.65,151.61
1/9/2025,6,3,0,Winter,2.9,424.3,152.5
1/9/2025,7,3,0,Winter,-2,580.67,233.76
1/9/2025,8,3,0,Winter,2.4,482.13,166.5
1/9/2025,9,3,0,Winter,5.4,521.29,210.09
1/9/2025,10,3,0,Winter,5.6,491.81,191.26
1/9/2025,11,3,0,Winter,5.5,507.47,142.53
1/9/2025,12,3,0,Winter,11.4,417.67,259.88
1/9/2025,13,3,0,Winter,8.5,397.24,268.83
1/9/2025,14,3,0,Winter,10.1,379.44,188.04
1/9/2025,15,3,0,Winter,8,362,175.65
1/9/2025,16,3,0,Winter,7.1,474.98,229.93
1/9/2025,17,3,0,Winter,9.2,354.72,135.03
1/9/2025,18,3,0,Winter,9.7,555.97,243.84
1/9/2025,19,3,0,Winter,6.7,500.98,259.37
1/9/2025,20,3,0,Winter,4.8,569.93,209.06
1/9/2025,21,3,0,Winter,0.7,371.15,167.81
1/9/2025,22,3,0,Winter,11.4,571.78,202.78
1/9/2025,23,3,0,Winter,7.5,542.46,195.54
1/10/2025,0,4,0,Winter,5.5,476.66,264.79
1/10/2025,1,4,0,Winter,7.6,393.69,227.38
1/10/2025,2,4,0,Winter,9.6,529.3,188.9
1/10/2025,3,4,0,Winter,4.2,587.99,165.82
1/10/2025,4,4,0,Winter,-0.7,484.75,163.61
1/10/2025,5,4,0,Winter,4.7,511.09,141.69
1/10/2025,6,4,0,Winter,7.6,390.88,158.61
1/10/2025,7,4,0,Winter,2.4,502.86,263.8
1/10/2025,8,4,0,Winter,-0.1,542.48,207.38
1/10/2025,9,4,0,Winter,-1.2,380.71,198.47
1/10/2025,10,4,0,Winter,9.3,379.08,241.43
1/10/2025,11,4,0,Winter,12.8,430.86,237.29
1/10/2025,12,4,0,Winter,10.3,593.58,258.44
1/10/2025,13,4,0,Winter,7.1,575.44,152.74
1/10/2025,14,4,0,Winter,-0.9,370.26,134.37
1/10/2025,15,4,0,Winter,7.9,364,181.79
1/10/2025,16,4,0,Winter,12.5,454.64,140.22
1/10/2025,17,4,0,Winter,6.5,587.5,164.6
1/10/2025,18,4,0,Winter,8.6,483.35,249.6
1/10/2025,19,4,0,Winter,0.5,386.26,261.67
1/10/2025,20,4,0,Winter,4.3,468.63,134.62
1/10/2025,21,4,0,Winter,5.7,470.5,217.58
1/10/2025,22,4,0,Winter,8,354.54,224.25
1/10/2025,23,4,0,Winter,0.1,481.71,213.92
1/11/2025,0,5,1,Winter,3,556.95,256.94
1/11/2025,1,5,1,Winter,9.2,420.64,158.67
1/11/2025,2,5,1,Winter,-1.2,710.85,243.79
1/11/2025,3,5,1,Winter,2.6,609.85,247.27
1/11/2025,4,5,1,Winter,10.4,694.69,269.83
1/11/2025,5,5,1,Winter,0.6,426.25,268.34
1/11/2025,6,5,1,Winter,-1.9,681.68,180.15
1/11/2025,7,5,1,Winter,10.7,459.78,224.4
1/11/2025,8,5,1,Winter,-2.3,423.19,169.09
1/11/2025,9,5,1,Winter,-0.4,448.33,293.5
1/11/2025,10,5,1,Winter,6.2,495,303.23
1/11/2025,11,5,1,Winter,9.4,517.18,200.82
1/11/2025,12,5,1,Winter,-2.5,649.93,286.84
1/11/2025,13,5,1,Winter,6.7,556.37,220.53
1/11/2025,14,5,1,Winter,10.9,511.49,248.23
1/11/2025,15,5,1,Winter,2.4,436.95,293.18
1/11/2025,16,5,1,Winter,5.9,578,319.76
1/11/2025,17,5,1,Winter,-2.6,594.84,187.7
1/11/2025,18,5,1,Winter,2,629.19,260.55
1/11/2025,19,5,1,Winter,10,552.64,196.26
1/11/2025,20,5,1,Winter,-1.8,505.97,156.63
1/11/2025,21,5,1,Winter,8,585.44,320.9
1/11/2025,22,5,1,Winter,0.2,494.15,181.01
1/11/2025,23,5,1,Winter,-0.5,684.04,301.97
1/12/2025,0,6,1,Winter,1.9,672.1,191.96
1/12/2025,1,6,1,Winter,3.5,716.66,278.58
1/12/2025,2,6,1,Winter,7.3,451.78,202.38
1/12/2025,3,6,1,Winter,9.9,698.65,261.18
1/12/2025,4,6,1,Winter,-0.2,426.18,275.21
1/12/2025,5,6,1,Winter,6.3,596.54,279.95
1/12/2025,6,6,1,Winter,2.4,454.59,242.06
1/12/2025,7,6,1,Winter,0.9,610.57,313.31
1/12/2025,8,6,1,Winter,8.2,512.4,319.18
1/12/2025,9,6,1,Winter,5.3,700.92,250.88
1/12/2025,10,6,1,Winter,3.7,673.1,290.23
1/12/2025,11,6,1,Winter,4.3,526.53,272.34
1/12/2025,12,6,1,Winter,1.1,593.17,218.79
1/12/2025,13,6,1,Winter,1.1,581.37,220.86
1/12/2025,14,6,1,Winter,2.1,642.46,290.87
1/12/2025,15,6,1,Winter,7.9,506.2,301.99
1/12/2025,16,6,1,Winter,6,623.76,157.37
1/12/2025,17,6,1,Winter,8.8,708.88,186.76
1/12/2025,18,6,1,Winter,5,447.42,193.6
1/12/2025,19,6,1,Winter,7.6,573.54,313.88
1/12/2025,20,6,1,Winter,-2.9,695.04,231.7
1/12/2025,21,6,1,Winter,9.5,530.21,266.45
1/12/2025,22,6,1,Winter,3.3,632.08,181.49
1/12/2025,23,6,1,Winter,9.4,673.38,293.57
1/13/2025,0,0,0,Winter,-2.4,476.88,204.11
1/13/2025,1,0,0,Winter,5.3,508.25,158.58
1/13/2025,2,0,0,Winter,12.6,363.58,191.81
1/13/2025,3,0,0,Winter,0.2,409.35,145.77
1/13/2025,4,0,0,Winter,5.9,428.03,140.28
1/13/2025,5,0,0,Winter,3.4,538.06,132.55
1/13/2025,6,0,0,Winter,6,446.24,264.44
1/13/2025,7,0,0,Winter,5.5,502.56,188.89
1/13/2025,8,0,0,Winter,1.9,557.3,236.5
1/13/2025,9,0,0,Winter,1.5,541.07,149.23
1/13/2025,10,0,0,Winter,10.8,516.89,260.72
1/13/2025,11,0,0,Winter,0.9,527.92,270.22
1/13/2025,12,0,0,Winter,0.8,583.13,137.01
1/13/2025,13,0,0,Winter,0.3,517.7,167.31
1/13/2025,14,0,0,Winter,6,491.71,154.82
1/13/2025,15,0,0,Winter,5.8,407.69,187.93
1/13/2025,16,0,0,Winter,1.7,379,135.13
1/13/2025,17,0,0,Winter,7.7,561.91,249.13
1/13/2025,18,0,0,Winter,8.6,454.83,180.51
1/13/2025,19,0,0,Winter,-0.3,558.49,145.7
1/13/2025,20,0,0,Winter,3.3,460.38,197.98
1/13/2025,21,0,0,Winter,-3.1,403.98,204.27
1/13/2025,22,0,0,Winter,11.7,441.93,227.18
1/13/2025,23,0,0,Winter,8.9,437.61,202.53
1/14/2025,0,1,0,Winter,6.5,557.37,259.59
1/14/2025,1,1,0,Winter,9,420.35,157.49
1/14/2025,2,1,0,Winter,6.8,388.97,163.38
1/14/2025,3,1,0,Winter,2.4,398.47,257.09
1/14/2025,4,1,0,Winter,7.3,534.59,233.03
1/14/2025,5,1,0,Winter,11.3,406.25,152.09
1/14/2025,6,1,0,Winter,1.8,500.1,183.12
1/14/2025,7,1,0,Winter,7,467.4,245.18
1/14/2025,8,1,0,Winter,3.3,388.53,169.35
1/14/2025,9,1,0,Winter,7.7,470.34,156.64
1/14/2025,10,1,0,Winter,7.8,581.47,210.22
1/14/2025,11,1,0,Winter,9.4,518.97,221.52
1/14/2025,12,1,0,Winter,-2.2,449.58,171.29
1/14/2025,13,1,0,Winter,11,592.42,177.34
1/14/2025,14,1,0,Winter,11.1,430.52,198.93
1/14/2025,15,1,0,Winter,4.7,500.86,162.47
1/14/2025,16,1,0,Winter,6.9,526.54,244.28
1/14/2025,17,1,0,Winter,1.2,487.15,161.47
1/14/2025,18,1,0,Winter,10.8,391.95,224.55
1/14/2025,19,1,0,Winter,9.4,531,271.27
1/14/2025,20,1,0,Winter,9.3,518.16,254.49
1/14/2025,21,1,0,Winter,11,593.5,226.52
1/14/2025,22,1,0,Winter,7.9,362.97,217.93
1/14/2025,23,1,0,Winter,5.1,538.55,201.52
1/15/2025,0,2,0,Winter,2.3,373.69,200.92
1/15/2025,1,2,0,Winter,1.7,350.96,217.94
1/15/2025,2,2,0,Winter,7.6,361.3,249.1
1/15/2025,3,2,0,Winter,10.7,442.32,154.19
1/15/2025,4,2,0,Winter,0.4,450.68,198.89
1/15/2025,5,2,0,Winter,5.5,399.03,229.96
1/15/2025,6,2,0,Winter,6.3,523.59,262.63
1/15/2025,7,2,0,Winter,12.4,549.29,247.13
1/15/2025,8,2,0,Winter,2,558.56,144.36
1/15/2025,9,2,0,Winter,8.7,358.23,260.83
1/15/2025,10,2,0,Winter,-1.5,412.29,225.96
1/15/2025,11,2,0,Winter,3,366.33,200.31
1/15/2025,12,2,0,Winter,-1,534.55,167.8
1/15/2025,13,2,0,Winter,3.6,467.85,207.72
1/15/2025,14,2,0,Winter,11,481.97,262.25
1/15/2025,15,2,0,Winter,4.5,583.14,155.85
1/15/2025,16,2,0,Winter,8.8,594.36,217.47
1/15/2025,17,2,0,Winter,8.9,420.19,266.5
1/15/2025,18,2,0,Winter,3.4,511.23,148.64
1/15/2025,19,2,0,Winter,-2.7,398.42,258.58
1/15/2025,20,2,0,Winter,5.2,599.59,149.85
1/15/2025,21,2,0,Winter,-1.8,376.63,257
1/15/2025,22,2,0,Winter,8.3,573.1,169.86
1/15/2025,23,2,0,Winter,9.2,423.86,182.56
1/16/2025,0,3,0,Winter,4.5,412.84,209.08
1/16/2025,1,3,0,Winter,9.2,596.17,133.24
1/16/2025,2,3,0,Winter,0.9,584.79,149.51
1/16/2025,3,3,0,Winter,0.8,570.38,238.26
1/16/2025,4,3,0,Winter,8.2,551.9,259.36
1/16/2025,5,3,0,Winter,6.2,405.81,232.05
1/16/2025,6,3,0,Winter,-1.9,416.32,274.84
1/16/2025,7,3,0,Winter,7.3,489.05,241.63
1/16/2025,8,3,0,Winter,-0.5,545.7,205.24
1/16/2025,9,3,0,Winter,11.5,583.94,229.73
1/16/2025,10,3,0,Winter,6.4,582.26,132
1/16/2025,11,3,0,Winter,1.1,495.51,172.73
1/16/2025,12,3,0,Winter,10.3,426.92,261.69
1/16/2025,13,3,0,Winter,1.7,598.21,249.49
1/16/2025,14,3,0,Winter,-0.4,566.55,151.11
1/16/2025,15,3,0,Winter,6.1,363.15,274.39
1/16/2025,16,3,0,Winter,2.3,373.64,160.37
1/16/2025,17,3,0,Winter,10,586.77,155.42
1/16/2025,18,3,0,Winter,3,579.69,230.88
1/16/2025,19,3,0,Winter,10.2,556,258.32
1/16/2025,20,3,0,Winter,11.3,366.06,241.2
1/16/2025,21,3,0,Winter,1.5,351.92,193.05
1/16/2025,22,3,0,Winter,0.8,501.48,238.3
1/16/2025,23,3,0,Winter,0.7,545.79,165.73
1/17/2025,0,4,0,Winter,-1.7,478.02,187.37
1/17/2025,1,4,0,Winter,7.2,548.99,225.58
1/17/2025,2,4,0,Winter,-0.8,528.48,148.53
1/17/2025,3,4,0,Winter,11.5,352.45,200.18
1/17/2025,4,4,0,Winter,6.2,501.85,217.59
1/17/2025,5,4,0,Winter,8.2,437.14,198.64
1/17/2025,6,4,0,Winter,2.3,570.75,179.52
1/17/2025,7,4,0,Winter,3.4,568.02,241.19
1/17/2025,8,4,0,Winter,1.6,495.49,204.01
1/17/2025,9,4,0,Winter,1.7,447.6,207.13
1/17/2025,10,4,0,Winter,11.5,432.54,245.55
1/17/2025,11,4,0,Winter,0.1,500,170
1/17/2025,12,4,0,Winter,12.3,436.22,242.61
1/17/2025,13,4,0,Winter,1.7,521.95,141.05
1/17/2025,14,4,0,Winter,11.1,405.13,255.22
1/17/2025,15,4,0,Winter,-0.9,399.98,153.74
1/17/2025,16,4,0,Winter,2.6,384.61,135.96
1/17/2025,17,4,0,Winter,4.1,381.43,134.58
1/17/2025,18,4,0,Winter,13.7,381.39,159.98
1/17/2025,19,4,0,Winter,6.9,364.71,150.3
1/17/2025,20,4,0,Winter,6.9,404.87,272.48
1/17/2025,21,4,0,Winter,0.2,587.07,142.49
1/17/2025,22,4,0,Winter,-0.2,454.17,139.41
1/17/2025,23,4,0,Winter,2.2,546.82,166.33
1/18/2025,0,5,1,Winter,9,496.49,180.92
1/18/2025,1,5,1,Winter,3.1,484.91,191.6
1/18/2025,2,5,1,Winter,-0.8,562.92,301.82
1/18/2025,3,5,1,Winter,5,592.86,307.83
1/18/2025,4,5,1,Winter,0.2,462.04,198.23
1/18/2025,5,5,1,Winter,4.7,498.27,212.29
1/18/2025,6,5,1,Winter,7.6,678.74,248.58
1/18/2025,7,5,1,Winter,6.3,484.12,322.94
1/18/2025,8,5,1,Winter,8,437.09,216.93
1/18/2025,9,5,1,Winter,4.6,509.39,220.34
1/18/2025,10,5,1,Winter,7.5,689.07,189.63
1/18/2025,11,5,1,Winter,7.7,616.8,180.78
1/18/2025,12,5,1,Winter,7.5,685.09,244.6
1/18/2025,13,5,1,Winter,-0.2,677.79,263.07
1/18/2025,14,5,1,Winter,10.7,544.36,304.47
1/18/2025,15,5,1,Winter,3.3,454.43,157.54
1/18/2025,16,5,1,Winter,7.4,595.85,321.75
1/18/2025,17,5,1,Winter,-0.7,599.5,229.28
1/18/2025,18,5,1,Winter,0.1,429.97,250.28
1/18/2025,19,5,1,Winter,-0.3,684.59,271.9
1/18/2025,20,5,1,Winter,0.6,678.45,313.79
1/18/2025,21,5,1,Winter,5.7,661.99,241.81
1/18/2025,22,5,1,Winter,6.2,637.2,309.38
1/18/2025,23,5,1,Winter,6.6,515.4,163.9
1/19/2025,0,6,1,Winter,2.9,639.35,234.84
1/19/2025,1,6,1,Winter,2.3,527.92,231.02
1/19/2025,2,6,1,Winter,11.1,669.14,244.79
1/19/2025,3,6,1,Winter,7,685.83,226.82
1/19/2025,4,6,1,Winter,-3.1,713.27,254.96
1/19/2025,5,6,1,Winter,8.2,531.51,293.42
1/19/2025,6,6,1,Winter,7,648.79,203.28
1/19/2025,7,6,1,Winter,5.1,456.08,288.37
1/19/2025,8,6,1,Winter,3,617.43,309.99
1/19/2025,9,6,1,Winter,9.8,642.32,191.32
1/19/2025,10,6,1,Winter,5.4,704.62,235.16
1/19/2025,11,6,1,Winter,6,551.57,220.06
1/19/2025,12,6,1,Winter,8.9,705.33,257.31
1/19/2025,13,6,1,Winter,2.5,714.49,193.54
1/19/2025,14,6,1,Winter,1.5,424.03,198.2
1/19/2025,15,6,1,Winter,1.1,527,220.38
1/19/2025,16,6,1,Winter,3.5,651.23,167.37
1/19/2025,17,6,1,Winter,3.9,701.77,238.63
1/19/2025,18,6,1,Winter,0.4,571.19,198.7
1/19/2025,19,6,1,Winter,4.8,708.49,251.69
1/19/2025,20,6,1,Winter,7.4,541.94,276.79
1/19/2025,21,6,1,Winter,7.3,711.56,212.16
1/19/2025,22,6,1,Winter,4,637.56,279.19
1/19/2025,23,6,1,Winter,6.1,703,219.15
1/20/2025,0,0,0,Winter,10.2,387.67,216.54
1/20/2025,1,0,0,Winter,5.8,559.82,214.55
1/20/2025,2,0,0,Winter,2.7,429.08,272.95
1/20/2025,3,0,0,Winter,0.5,472.06,194.96
1/20/2025,4,0,0,Winter,12.8,362.95,246.08
1/20/2025,5,0,0,Winter,7.4,556.84,219.69
1/20/2025,6,0,0,Winter,3.5,437.51,212.49
1/20/2025,7,0,0,Winter,11.4,526.01,187
1/20/2025,8,0,0,Winter,3.6,427.38,206.8
1/20/2025,9,0,0,Winter,-2.6,364.88,188.59
1/20/2025,10,0,0,Winter,8.8,450.12,248.52
1/20/2025,11,0,0,Winter,9.9,481.21,230.51
1/20/2025,12,0,0,Winter,6.2,423.32,151.15
1/20/2025,13,0,0,Winter,6.9,361.01,203.89
1/20/2025,14,0,0,Winter,2.7,405.34,186.93
1/20/2025,15,0,0,Winter,-0.2,434.92,200.6
1/20/2025,16,0,0,Winter,0.7,517.93,167.55
1/20/2025,17,0,0,Winter,-1,474.99,263.31
1/20/2025,18,0,0,Winter,8.1,486.91,149.99
1/20/2025,19,0,0,Winter,11.8,589.27,214.49
1/20/2025,20,0,0,Winter,1,435.07,239.09
1/20/2025,21,0,0,Winter,7.2,559.25,188.69
1/20/2025,22,0,0,Winter,-1.5,509.38,257.76
1/20/2025,23,0,0,Winter,3,501,254.45
1/21/2025,0,1,0,Winter,2.6,455.96,197.82
1/21/2025,1,1,0,Winter,3.2,532.37,247.3
